Age,Gender,Stream,Internships,CGPA,Hostel,HistoryOfBacklogs
22,Male,Computer Science,2,8.875,1,1
21,Male,Computer Science,0,6.875,1,1
20,Male,Computer Science,2,9.083,0,0
21,Male,Computer Science,0,6.75,0,1
22,Female,Computer Science,0,7.708,1,0
22,Male,Computer Science,1,7.292,0,0
21,Male,Computer Science,0,4.333,0,1
21,Female,Computer Science,1,6.458,0,0
19,Female,Computer Science,2,8.292,0,0
22,Male,Computer Science,1,7.75,1,0
21,Male,Computer Science,3,8.875,0,0
22,Male,Computer Science,1,4.292,0,1
21,Male,Computer Science,1,7.458,1,1
21,Male,Computer Science,0,7.875,0,1
21,Male,Computer Science,2,9,0,0
22,Female,Computer Science,0,7.583,1,0
22,Male,Computer Science,0,0,1,0
21,Male,Computer Science,0,7.167,0,0
21,Male,Computer Science,2,6.042,0,0
22,Male,Computer Science,0,6.458,0,0
22,Male,Computer Science,0,6.458,0,0
21,Male,Computer Science,0,7.917,0,0
22,Female,Computer Science,0,9.042,0,0
22,Male,Computer Science,0,7.875,0,1
22,Male,Computer Science,0,6.25,0,0
21,Male,Computer Science,0,4.208,1,0
22,Male,Computer Science,0,8.833,0,0
22,Male,Computer Science,1,8.25,0,0
22,Female,Computer Science,2,6.958,0,0
21,Male,Computer Science,0,5.583,0,0
22,Male,Computer Science,0,7.917,1,0
21,Male,Computer Science,1,7.583,0,0
21,Male,Computer Science,0,8.125,0,0
21,Male,Computer Science,0,7.542,0,0
21,Female,Computer Science,0,8.375,0,0
21,Female,Computer Science,0,8.417,0,0
